algo,seed,pop,pc,pm,pls,maxIter,bestFitness,feasible,timeMs
GA1,1234,70,0,900,0,200,0,200,40,1111,306583,true,553
GA2,1234,70,0,900,0,200,0,200,40,1071,894728,true,145
GA3,1234,70,0,900,0,200,0,200,40,1190,976914,true,373
GA1,1,70,0,900,0,200,0,200,40,1213,060620,true,277
GA2,1,70,0,900,0,200,0,200,40,1091,986309,true,188
GA3,1,70,0,900,0,200,0,200,40,1180,682019,true,330
GA1,2,70,0,900,0,200,0,200,40,1145,282592,true,235
GA2,2,70,0,900,0,200,0,200,40,1127,780513,true,182
GA3,2,70,0,900,0,200,0,200,40,1215,291653,true,283
GA1,3,70,0,900,0,200,0,200,40,1167,081883,true,185
GA2,3,70,0,900,0,200,0,200,40,1155,193294,true,180
GA3,3,70,0,900,0,200,0,200,40,1170,349952,true,306
GA1,4,70,0,900,0,200,0,200,40,1142,618808,true,220
GA2,4,70,0,900,0,200,0,200,40,1142,618808,true,237
GA3,4,70,0,900,0,200,0,200,40,1229,836024,true,662
GA1,5,70,0,900,0,200,0,200,40,1144,377238,true,201
GA2,5,70,0,900,0,200,0,200,40,1146,825105,true,145
GA3,5,70,0,900,0,200,0,200,40,1215,182232,true,145
GA3,1234,70,0,900,0,200,0,200,40,1190,976914,true,117
GA2,1234,70,0,900,0,200,0,200,40,1071,894728,true,66
GA1,1234,70,0,900,0,200,0,200,40,1111,306583,true,187
GA1,1,70,0,900,0,200,0,200,40,1213,060620,true,91
GA2,1,70,0,900,0,200,0,200,40,1091,986309,true,72
GA3,1,70,0,900,0,200,0,200,40,1180,682019,true,95
GA1,2,70,0,900,0,200,0,200,40,1145,282592,true,57
GA2,2,70,0,900,0,200,0,200,40,1127,780513,true,60
GA3,2,70,0,900,0,200,0,200,40,1215,291653,true,189
GA1,3,70,0,900,0,200,0,200,40,1167,081883,true,50
GA2,3,70,0,900,0,200,0,200,40,1155,193294,true,52
GA3,3,70,0,900,0,200,0,200,40,1170,349952,true,55
GA1,4,70,0,900,0,200,0,200,40,1142,618808,true,54
GA2,4,70,0,900,0,200,0,200,40,1142,618808,true,60
GA3,4,70,0,900,0,200,0,200,40,1229,836024,true,83
GA1,5,70,0,900,0,200,0,200,40,1144,377238,true,86
GA2,5,70,0,900,0,200,0,200,40,1146,825105,true,127
GA3,5,70,0,900,0,200,0,200,40,1215,182232,true,127
GA3,1234,70,0,900,0,200,0,200,40,1190,976914,true,123
GA2,1234,70,0,900,0,200,0,200,40,1071,894728,true,65
GA1,1234,70,0,900,0,200,0,200,40,1111,306583,true,179
